provider_id,name,registration_number,qualification,specialization,hospital,address,phone,mobile,email,city,state,consultation_fee,timings,languages,expected_error_type
P001,Dr. A. Kalaiarasan,RMC/11223/2012,"MBBS, DLO",ENT Specialist,Royal Hospital,"Gandhi Nagar, Bikaner, Rajasthan - 334001",0151-2304455,+91-9876543210,info@royalhospital.net.in,Bikaner,Rajasthan,₹500-800,Mon-Sat: 10 AM - 6 PM,"English, Hindi, Rajasthani",OUTDATED_PHONE
P002,Dr. Sneha Joshi,MMC/34278/2013,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Suburban Clinic,"227, Andheri West, Mumbai, Maharashtra - 400117",022-87341168,+91-9769928467,dr.sneha.joshi@suburban.com,Mumbai,Maharashtra,₹800-1200,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",CORRECT_DATA
P003,Dr. Pooja Gupta,RMC/99457/2021,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,SMS Hospital,"737, C Scheme, Jaipur, Rajasthan - 302759",0141-75386966,+91-745676728,dr.pooja.gupta@sms.com,Jaipur,Rajasthan,₹800-1200,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P004,Dr. Ajay Kumar,TSMC/30323/2009,"MBBS, DLO",ENT Specialist,Metro Care,"163, Jubilee Hills, Hyderabad, Telangana - 500156",040-74623585,+91-9720506084,dr.ajay.kumar@metro.com,Hyderabad,Telangana,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Telugu",CORRECT_DATA
P005,Dr. Nisha Mehta,MMC/99735/2020,"MBBS, MD (Dermatology)",Dermatologist,Marine Drive Hospital,"855, Borivali, Mumbai, Maharashtra - 400997",022-99652661,+91-989076685,dr.nisha.mehta@marine.com,Mumbai,Maharashtra,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",MOVED_ADDRESS
P006,Dr. Deepak Kulkarni,TSMC/12669/2012,"MBBS, MD (Dermatology)",Dermatologist,KIMS Hospital Begumpet,"368, Jubilee Hills, Hyderabad, Telangana - 500107",040-72572626,+91-7958632198,dr.deepak.kulkarni@kims.com,Hyderabad,Telangana,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Telugu",CORRECT_DATA
P007,Dr. Praveen Mehta,WBMC/20771/2019,"MBBS, MD, DM (Cardiology)",Cardiologist,Medica Superspecialty,"556, Ballygunge, Kolkata, West Bengal - 700406",033-66772438,+91-9104696753,dr.praveen.mehta@medica.com,Kolkata,West Bengal,₹1000-1500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Bengali",MOVED_ADDRESS
P008,Dr. Anand Reddy,UPMC/37815/2022,"MBBS, MD (Dermatology)",Dermatologist,Sahara Hospital,"251, Gomti Nagar, Lucknow, Uttar Pradesh - 226586",0522-40374913,+91-9168308098,dr.anand.reddy@sahara.com,Lucknow,Uttar Pradesh,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P009,Dr. Sanjay Patel,KMC/13739/2009,"MBBS, DLO",ENT Specialist,City Care Clinic,"897, BTM Layout, Bangalore, Karnataka - 560479",080-94558037,+91-9660559631,dr.sanjay.patel@city.com,Bangalore,Karnataka,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Kannada",CORRECT_DATA
P010,Dr. Kavita Verma,UPMC/94452/2014,"MBBS, MD (Medicine)",General Physician,Gomti Nagar Clinic,"526, Alambagh, Lucknow, Uttar Pradesh - 226620",0522-79578693,+91-8391074635,dr.kavita.verma@gomti.com,Lucknow,Uttar Pradesh,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
